date,open,close,high,low,volume,code
2012-03-12,200.12,200.54,201.61,199.03,25681.0,600519
2012-03-13,200.1,201.66,203.3,200.1,18316.0,600519
2012-03-14,201.59,198.67,204.05,198.0,40699.0,600519
2012-03-15,199.04,198.93,202.4,198.6,28094.0,600519
2012-03-16,200.79,207.59,208.0,200.3,51583.0,600519
2012-03-19,207.8,207.64,211.57,205.57,45635.0,600519
2012-03-20,207.55,207.75,209.1,206.11,23400.0,600519
2012-03-21,207.8,205.1,209.0,203.86,29527.0,600519
2012-03-22,204.32,205.35,206.9,204.29,8331.0,600519
2012-03-23,207.5,212.02,212.55,207.5,54873.0,600519
2012-03-26,211.12,215.2,215.9,211.1,37653.0,600519
2012-03-27,210.22,201.5,210.99,201.0,79106.0,600519
2012-03-28,199.0,201.4,205.0,198.31,55461.0,600519
2012-03-29,200.8,201.15,205.5,200.0,36982.0,600519
2012-03-30,201.16,196.96,202.99,195.0,37959.0,600519
2012-04-05,196.1,206.0,206.4,196.1,40960.0,600519
2012-04-06,205.62,207.97,208.08,205.53,26729.0,600519
2012-04-09,207.55,209.26,209.92,205.6,14474.0,600519
2012-04-10,209.28,208.11,209.78,205.11,16640.0,600519
2012-04-11,205.0,208.85,211.5,203.51,31460.0,600519
2012-04-12,208.85,212.42,212.52,206.68,28422.0,600519
2012-04-13,212.5,213.03,214.05,211.4,20527.0,600519
2012-04-16,212.5,212.83,215.4,211.59,20893.0,600519
2012-04-17,212.84,210.18,213.01,210.0,17872.0,600519
2012-04-18,210.41,213.86,214.8,210.0,22815.0,600519
2012-04-19,213.78,209.48,214.37,207.81,21823.0,600519
2012-04-20,208.3,212.5,213.35,208.3,17046.0,600519
2012-04-23,211.72,211.84,214.27,209.86,13281.0,600519
2012-04-24,212.19,211.52,213.01,209.94,21782.0,600519
2012-04-25,212.45,212.92,213.26,210.0,15529.0,600519
2012-04-26,214.25,216.69,217.0,213.5,35019.0,600519
2012-04-27,216.69,224.56,225.48,216.69,42728.0,600519
2012-05-02,226.0,225.98,226.57,222.0,35339.0,600519
2012-05-03,225.98,226.69,227.3,223.61,25654.0,600519
